SMILES,measured log(solubility:mol/L)
CC\C=C/CC1=C(C)CCC1=O,-2.05
CCCCC(CC)COCC(O)CO,-2.06
CN1C(=O)N(C)C2=C(N=C(C(C)=O)C(C)=N2)C1=O,-2.07
O[C@@H]1CCN2C1=NC1=CC=CC=C1C2=O,-2.07
c1ccc2C(O)N3CCC(O)C3=Nc2c1,-2.07
O[C@H]1CCN2C1=NC1=CC=CC=C1C2=O,-2.07
O[C@@H]1CCN2[C@H](O)C3=CC=CC=C3N=C12,-2.07
CC(C)OC(=O)CSC1=CC=CC=C1,-2.08
CCSCc1ccccc1OC(NC)=O,-2.09
Cc1nc(NS(=O)(c2ccc(cc2)N)=O)ncc1,-2.092
OC(=O)C1CC(=O)C2=C(C1)C=CC=C2,-2.1
OC1CCN2C1=NC1=C(C=CC=C1)C2=O,-2.1
CCCC1=CC(=O)N(CCC(O)=O)C=C1,-2.11
[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,-2.11
OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,-2.11
CCCCCC(=O)OCN1C(=O)NC=C(F)C1=O,-2.11
CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,-2.12
CCOC(=O)CCSC1=CC=CC=C1,-2.12
COC(=O)C(C)CSC1=CC=CC=C1,-2.12
CN1CCN(CC2=CN=C(Cl)C=C2)C1=NC#N,-2.13
CCCCCCCCC(=O)N(C)C,-2.14
CCCOC(=O)CSC1=CC=CC=C1,-2.15
OC(=O)CNC(CC1=CC=CC=C1)C(O)=O,-2.16
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,-2.16
CCCCC1(CC=C)C(=O)NC(=O)NC1=O,-2.17
CC(C)(C)C(=O)OCN1C=C2C(=N1)N=CNC2=O,-2.17
COC(=O)C(CC=C)(CC=C)C(=O)NC(N)=O,-2.17
CC(=O)NC(CC1=CC(Br)=C(O)C(Br)=C1)C(O)=O,-2.18
CC(=O)N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(O)=O,-2.18
CC1=C(C)C(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,-2.19
[#6]C1=C([#6])[NH0]=C(NS(=O)(=O)C2=CC=C([#7])C=C2)O1,-2.2
CC(=O)OCCCC1=CC=C(C=C1)S(N)(=O)=O,-2.21
OC(=O)C1=CC(=O)N=C(N1)C1=CC=CC=C1,-2.21
CCCCCCCCNCC(O)CO,-2.22
CN(C)C(=O)NC1=CC(C)=CC(C)=C1,-2.22
O=C(CCl)N(C(C)C)c1ccccc1,-2.22
CCC(=O)OCCCCCOC(=O)CC,-2.23
OC(=O)CCCCC1=CC=CC=C1,-2.235
OC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,-2.24
CCCCC1=C(C)NC(=NC1=O)N(C)C,-2.24
CCCCc(c(O)nc(N(C)C)n1)c1C,-2.24
CCNC(=O)COC(=O)c1ccccc1,-2.24
CCCCC1=C(C)N=C(NC1=O)N(C)C,-2.24
CCCCCCOC(=O)N1C=C(F)C(=O)NC1=O,-2.24
[#6]CCCC1=C([#6])[NH0]=C([NH0]=C1O)N([#6])[#6],-2.24
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25
COc1ccc(CC(C)C=O)cc1,-2.25
CCCC1(CC(C)C)C(=O)NC(=O)NC1=O,-2.26
CC(C)C1=CC=C(CCO)C=C1,-2.26
CC(C)C1OC(=O)C2=CC=CC=C12,-2.26
COC(=O)C1(CC1)S(=O)(=O)C1=CC=CC=C1,-2.26
FC1=CNC(=O)N(C(=O)C2=CC=CC=C2)C1=O,-2.26
CC(C)(C)CC(C)(C)NC(=O)C=C,-2.26
CCCCN1C(=O)C=C(C)C(=C1O)C#N,-2.27
CCCCCCCCNC(=O)C(C)O,-2.28
CCCCCCCCNC(=O)[C@H](C)O,-2.28
O=C(NC1CCCCCCC1)N(C)C,-2.29
S=P(OCC)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
COC(CCl)Oc1ccccc1OC(=O)NC,-2.3
CC/C(C)=C/CCC(C)(O)C#C,-2.3
NC1=NC2=C(N=CN2C2CC(CO)C=C2)C(O)=N1,-2.3
CCOP(=S)(OCC)OC1=CC=C(C=C1)[S@](C)=O,-2.3
CCC(=O)OCN1C=NC2=C1C(=O)N(C)C(=O)N2C,-2.3
CN(C)S(=O)(=O)C1=CC=C(C=C1)N(C)C(C)=O,-2.3
CC(=O)NC(CSC1=C(Cl)C=CC=C1Cl)C(O)=O,-2.31
CC\C=C(/C)C1(CC)C(=O)NC(=O)NC1=O,-2.31
CCC1OC(=O)C2=C1C=CC(=C2)C#N,-2.31
CCN(CC)C(=O)CN1C=C(Br)C(=O)C(Br)=C1,-2.31
NC1=CC=C(C=C1)S(=O)(=O)C1=NC=C(N)C=C1,-2.31
CC(Cc1ccc2OCOc2c1)C=O,-2.31
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C(N)C=C1,-2.31
CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,-2.31
OC(=O)C1=C(Cl)C=CC2=C1C=CC=C2,-2.32
O=S(c1ccc(N)cc1)(Nc2nc(C)c(C)o2)=O,-2.32
CC1=CC2=CC=CC(O)=C2N=C1C,-2.32
OC(C(CO)NC(C(Cl)Cl)=O)c1ccc(N(=O)=O)cc1,-2.323333333
CCCCCC1(CC)C(=O)NC(=O)NC1=O,-2.343333333
CCCOC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,-2.35
O=S(Nc1ccccn1)(c2ccc(N)cc2)=O,-2.35
CCCC(C)C1(C=C)C(=O)NC(=O)NC1=O,-2.36
CNC(Oc1ccc(c(C)c1)N(C)C)=O,-2.36
CN1C=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC1=O,-2.36
COC(=O)C1=CC(=CC=C1SCCCO)S(N)(=O)=O,-2.37
Cc1ccc(cc1)N2N=C(C)CC2=O,-2.37
CCCCCOC(=O)C1=CN=CC=C1,-2.38
CCCCCC1(CCO)C(=O)NC(=S)NC1=O,-2.38
[#6]CCCCOC(=O)C1=C[NH0]=CC=C1,-2.38
CCCCOCCC(=O)OCCCC,-2.4
CC(=O)NC(=O)COC(=O)C1=CC=CC=C1,-2.4
NC1=CC=C(C=C1)S(=O)(=O)NC1=N(=O)C=CC=C1,-2.4
CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,-2.4
CCC1(NC(=O)NC1=O)C1=CC=CC=C1,-2.405
CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.41
CC(C)OC(=O)CS(=O)(=O)C1=CC=C(Cl)C=C1,-2.41
CC/C(C)=C/CCC(C)(O)C=C,-2.41
CCOC(=O)C1OC1c2ccccc2,-2.41
CCOP(=O)(OCC)SCC1=CC=CC=C1,-2.42
O=CC1CCC2C3CCC(C3)C12,-2.42
CN(C)CC1CNC2CCC(Br)CC12,-2.44
FC1=CN(C(=O)OC2=CC=CC=C2)C(=O)NC1=O,-2.44
CNC(=O)OC1=CC(C)=C(C)C(C)=C1,-2.44
O=S(NC(NCCCC)=O)(c(cc1)ccc1N)=O,-2.445
CCCCC1OC(C)CC(C)(C)O1,-2.45
CC(C(C(NC1=O)=O)(C(N1)=O)CC)CCC,-2.455
CC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,-2.46
CN(C)C(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O,-2.48
CC(C)OC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,-2.49
CCC(C)(C)c1ccccc1O,-2.49
O=C(O)CCCCCCCCCCN,-2.5
CCOC(=O)OC1=CC=C(NC(C)=O)C=C1,-2.51
COc1nnc(NS(=O)(c2ccc(cc2)N)=O)cc1,-2.516666667
CCC1(C(C)CCC)C(=O)NC(O)=NC1=O,-2.52
CC(=O)CC(=O)Nc1ccc2NC(=O)Nc2c1,-2.52
CCOc1ccccc1\C=C/C(O)=O,-2.52
C[C@@H]1[C@@H](CN)C[C@H]2C[C@@H]1C2(C)C,-2.52
NC(=S)Nc1cccc2ccccc21,-2.53
O=S(=O)(N1CCCCC1)C1=CC=CC=C1,-2.54
C=CCOC(=O)COc1ccccc1,-2.54
CC(=O)OCSC1=NC=NC2=C1N=CN2COC(C)=O,-2.54
COC1=C(OC)C=C(CC=C)C=C1,-2.55
C\C=C(\CC1=CC=CC=C1)C(O)=O,-2.56
CC(C)CCC1(CCO)C(=O)NC(=S)NC1=O,-2.56
CC=C(Cc1ccccc1)C(O)=O,-2.56
C=CC(=O)OCCOc1ccccc1,-2.56
O=C(N1)NC(C(CCC(C)C)(CC)C1=O)=O,-2.57
COc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,-2.58
[#6]OC1=C[NH0]=C(NS(=O)(=O)C2=CC=C([#7])C=C2)[NH0]=C1,-2.58
OC(=O)CNC(CC1=CC=C(O)C=C1)C(O)=O,-2.59
C[C@H](OC(=O)NC1=CC(Cl)=CC=C1)C#C,-2.62
CC(C#C)OC(=O)Nc1cccc(Cl)c1,-2.62
CCCCCCCCN1SC=CC1=O,-2.63
CC(=O)Oc1ccccc1C(=O)OCSC,-2.64
CCCCCCC1(C)CCC(=O)O1,-2.64
CC1=CC=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=N1,-2.64
FC1=CN(CC2=CC=CC=C2)C(=O)NC1=O,-2.65
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
CC[C@H](C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
CC[C@@H](C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.65
NS(=O)(=O)c1ccc(cc1)SCCCCCO,-2.66
CCC(C)(C)C1CCC(=O)CC1,-2.66
CCCCC(CC)COC(=O)C(C)O,-2.67
CCCCC(CC)COC(=O)[C@H](C)O,-2.67
Cc1ccc(c(O)c1)C(C)(C)C,-2.67
CC(C)(C)C(=O)OCN1N=CC2=C1N=CNC2=O,-2.68
CC(C)(C)C(=O)OCN1N=CC2=C(O)N=CN=C12,-2.68
Cc1ccc(O)c(c1)C(C)(C)C,-2.69
CC1=NN(C(=O)N1C(F)F)C1=C(Cl)C=C(Cl)C(NS(C)(=O)=O)=C1,-2.7
OCCCCCCCCCCC(O)=O,-2.7
ON(C1CCCCC1)C(=O)C1CCC1,-2.7
[NH3+]CCCCCCCCCCC([O-])=O,-2.7
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.7
CC1=CC(C)=C(C(C)=C1)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-2.7
O=S(Nc(onc2C)c2C)(c1ccc(N)cc1)=O,-2.7
CCCCCCCCCCSC(N)=N,-2.71
CC(=O)C1=CC=C(NN=C(C#N)C#N)C=C1,-2.71
CCOC(=O)C1=C(C)C(CC)=C(N1)C=O,-2.72
CCC(=O)OC1=CC=C(NC(C)=O)C=C1,-2.72
CCOC(=O)N1C(=O)c2ccccc2C1=O,-2.74
CC(C)COC(=O)c1cc(N)c(Cl)c(N)c1,-2.74
OC(=O)C1=C2C(C=CC=C2N(=O)=O)=CC=C1,-2.75
COc1ccc2CCCCc2c1,-2.75
CCC(CC)(C(=O)NC(N)=O)C(=O)OC(C)C,-2.77
COc1ccc(\C=C\C)cc1OC,-2.78
CC(C)(C)OOC(=O)c1ccccc1,-2.78
OC(=O)C1=CCCC2=C1C=CC=C2,-2.79
[#6]C1=C[NH0]=C(NS(=O)(=O)C2=CC=C([#7])C=C2)[NH0]=C1,-2.82
CCCCC(C(=O)OCC)C(=O)OCC,-2.82
Cc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,-2.82
CCCCC1=C(C=CC(O)=C1)C(O)=O,-2.82
CCCCCCOC(=O)CCOCC,-2.83
CC(C)(O)CCSc1ccc(cc1)S(N)(=O)=O,-2.84
NS(=O)(=O)C1=CC(=CS1)C(=O)C1=CC=C(O)C=C1,-2.86
NS(=O)(=O)C1=CC=C(S1)C(=O)C1=CC=C(O)C=C1,-2.86
[#7]S(=O)(=O)C1=CC(=C[SH0]1)C(=O)C1=CC=C(O)C=C1,-2.86
CC(=O)NC(CSC1=CC(Cl)=C(Cl)C=C1)C(O)=O,-2.88
CC(=O)N[C@@H](CSc1ccc(Cl)c(Cl)c1)C(O)=O,-2.89
CC(=O)OC\C=C\C1=CC=CC=C1,-2.895
CCCCCN(\N=C\C1=CC=C(O1)N(=O)=O)C(N)=O,-2.9
CCCCCN(N=Cc1oc(cc1)[N+]([O-])=O)C(N)=O,-2.9
CC1(C)OC(=O)C2=C1C=CC(=C2)C#N,-2.91
NC(CSCCCCCSCC(N)C(O)=O)C(O)=O,-2.91
CCOC(=O)CCC1=CC=CC=C1,-2.91
COC(=O)C1C(=CCCC1(C)C)C,-2.91
N[C@@H](CSCCCCCSC[C@H](N)C(O)=O)C(O)=O,-2.91
CCCC1=NC=NC2=C(O)C=CC=C12,-2.92
CCCCCCCCC(C(O)=O)C(O)=O,-2.92
[#6]CCC1=C2C=CC=C(O)C2=[NH0]C=[NH0]1,-2.92
CCOC1=CC=CC=C1\C=C\C(O)=O,-2.92
COCCCNc1[n]c([n]c(NC(C)C)[n]1)SC,-2.93
[#6]OCCCNC1=[NH0]C(S[#6])=[NH0]C(NC([#6])[#6])=[NH0]1,-2.93
COc1ccc(O)c(c1)C(C)(C)C,-2.93
Oc1ccc(C(OCCCC)=O)cc1,-2.93
CC(C)COC(=O)c1ccc(N)cc1,-2.94
CCCCCCCCC[C@H](C)O,-2.94
CCCCCCCCC[C@@H](C)O,-2.94
[#7]C1=CC=C(C=C1)S(=O)(=O)NC1=[NH0]C=CC=C1,-2.97
CC(=C)C(=O)OCc1ccccc1,-2.97
O=C(NC1=CC=CC=N1)C1=CN=CC=C1,-2.98
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1,-2.98
CCCCNC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,-2.98
CC(C)(CC)c1ccc(O)cc1,-2.99
COC1=CC=CC(OCC(O)CO)=C1OC,-3
O=C(OCC)C=Cc1ccccc1,-3
CCOC(=O)\C=C\C1=CC=CC=C1,-3
CCOC(=O)\C=C/C1=CC=CC=C1,-3
[#6]C1=C[NH0]=C2C(C=CC(Cl)=C2C(O)=O)=C1,-3
COC1=CC=C(C=C1)S(=O)(=O)C1=COC(=C1)S(N)(=O)=O,-3.02
COC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O1)S(N)(=O)=O,-3.02
CCOC(=O)CC1=NNC2=CC=C(Cl)C=C12,-3.03
[H]N(C1=NC(=O)C(=C(N1[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],-3.03
O=C(C(C)=C1)c(cccc2)c2C1=O,-3.03
CCN(CCCl)c1ccc(C=O)cc1,-3.03
CCOC(=O)CC1=C2C=C(Cl)C=CC2=NN1,-3.03
O=S(c1ccccc1)(NC(NCCCC)=O)=O,-3.05
CCCOC1=CC=C(NC(C)=O)C=C1,-3.06
C1=CC=C(C=C1)C1=NC2N=CN=CC2=N1,-3.06
N1C2=C(N=C1C1=CC=CC=C1)N=CN=C2,-3.06
CCCCCCC[C@H]1CCC(=O)O1,-3.07
CCCCC1=CC=C(C=C1)C(O)=O,-3.08
CCCCc1c(O)nc(NCC)nc1C,-3.08
CCCCC1=C(C)N=C(NCC)NC1=O,-3.085
NC1CCC(N=NC2CCCCC2)C(N)N1,-3.09
CCCCC(=O)OCSC1=NC=NC2=C1N=CN2,-3.1
COC1=CC=C2NC(=O)C=C(C(O)=O)C2=C1,-3.11
CCCCC(CC)COCC1CO1,-3.11
CS(=O)(=O)c1ccc(cc1)OP(=S)(OCC)OCC,-3.11
[#6]C1=[NH0]C(NS(=O)(=O)C2=CC=C([#7])C=C2)=[NH0]C=C1,-3.12
CCC(=O)OCCc1ccccc1,-3.12
CCCC(=O)OCc1ccccc1,-3.12
OC(=O)C1=C(O)C=CC2=CC=CC=C12,-3.13
OC(=O)CC1=CC(Cl)=C(OCC=C)C=C1,-3.13
CC(C)(C)c1ccc(C=O)cc1,-3.13
CCNC(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O,-3.13
CC1(C)OC(CN1C(=O)C(Cl)Cl)C1=CC=CO1,-3.15
CCCCCCCCCCC=O,-3.15
CC(=O)OC1=CC=CC=C1\C=C\C(O)=O,-3.16
CCC(C)OC(=O)NC1=CC(Cl)=CC=C1,-3.17
ClC1=CC=CN=C1NS(=O)(=O)C1=CC=CC=C1,-3.17
CC[C@H](C)OC(=O)NC1=CC(Cl)=CC=C1,-3.17
CCN(CC)C(=O)CN1C=C(I)C(=O)C(I)=C1,-3.18
ClCC(=O)C1=CC=C(NN=C(C#N)C#N)C=C1,-3.19
ON(C(=O)C1=CC=CO1)C1=CC=CC=C1,-3.19
COC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1,-3.19
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=CC=C1Cl,-3.2
OC1=C2OC=CC2=CC2=C1OC(=O)C=C2,-3.22
FC1=CNC(=O)N(C(=O)OC2=CC=CC=C2)C1=O,-3.22
CN(CC(O)=O)C(=S)SCC1=CC=CC=C1,-3.23
CC(Nc1c(C)cc(C)c(NS(=O)(C(F)(F)F)=O)c1)=O,-3.24
CC1C=C(C)CCC1COC(C)=O,-3.25
O=C1Nc2cccc3cccc1c23,-3.25
OC(Cn1ccnc1)c2ccc(Cl)cc2Cl,-3.26
OC(=O)c1ccc2cc(O)ccc2c1,-3.28
Cc1ccc(C(C)C)c(O)c1C(O)=O,-3.29
CCCCC(CC)COC(=O)CC#N,-3.29
OC(=O)C1=CC=CC2=CC=CC=C12,-3.3
COC(C)(C)C1CCC(=CC1)C,-3.3
COC(=O)C1(CC1)S(=O)(=O)C1=CC=C(Cl)C=C1,-3.31
CCCC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-3.31
[#6]CCC1=[NH0][NH0]=C(NS(=O)(=O)C2=CC=C([#7])C=C2)[SH0]1,-3.31
CCOC(=O)C(C)C1CCCCC1,-3.33
COC(OC)C(C)(C)CC=C(C)C,-3.34
CNC(=O)Oc1cccc2OC(C)(C)Oc21,-3.34
CNC(=O)OC1=CC(=CC=C1)C(C)C,-3.36
CCC(C)NC1=NC(Cl)=NC(NCCCOC)=N1,-3.36
CCC[C@H](C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CCC[C@@H](C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,-3.37
COC(=O)C1(CC1)S(=O)(=O)C1=CC=C(C=C1)N(=O)=O,-3.38
CCCCOC(=O)c1ccccc1N,-3.38
COC(=O)C1CC1S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,-3.38
CC(=O)Oc1ccccc1C(=O)OCS(C)(=O)=O,-3.39
O=C(SCC)N(C1CCCCC1)CC,-3.4
NC(=O)C(=O)N(CCO)\N=C\C=C\C1=CC=C(O1)[N+]([O-])=O,-3.4
CC(C)C1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1,-3.41
COC(=O)C1=CC2=CC=CC=C2C(=O)O1,-3.41
[#6]C([#6])C1=[NH0][NH0]=C(NS(=O)(=O)C2=CC=C([#7])C=C2)[SH0]1,-3.41
O1C=CC(=C1)C1N=C2C=CC=CC2=N1,-3.41
OC(=O)c1cc2ccccc2cc1O,-3.42
NC1=CC=C(C=C1)S(=O)(=O)NC1=CN=C(Br)C=C1,-3.43
CCCCCC(O)C(/C)=C/CC,-3.43
CCCCOC(=O)NC1=CC=CC=C1,-3.43
CCCCCCC1CCCC1=O,-3.45
O=C(O)CCCCCCCCC=C,-3.475
O=C(c1ccccc1)OCCCC,-3.48
COC1=C(OC)C2=C(COC2=O)C(=C1)C#N,-3.48
S=C(N1)NC(C(C(C)CCC)(CC)C1=O)=O,-3.48
FC1=CN(CC2=CC=C(Cl)C=C2)C(=O)NC1=O,-3.49
N1C2=C(C=CC=C2)N=C1C1=CC=CO1,-3.49
CCCCOC(=O)C1=CC(Cl)=C(O)C=C1,-3.51
CC1=CC2=CC=C(Cl)C(C(O)=O)=C2N=C1,-3.51
CCCCCC(=O)CCCCC,-3.53
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,-3.53
CC(=O)CC(C)=NC1=C(O)C=CC=C1,-3.55
CC1C(CC2CC1C2(C)C)C=O,-3.56
CC(=O)CC(C)=NC1=CC=C(O)C=C1,-3.58
CC/C(C)=C/CC/C(C)=C/C#N,-3.59
OC1=C2N=CN=CC2=CC=C1CC=C,-3.62
OC(=O)\C=C\C=C\C1=CC=CC=C1,-3.64
COC(=O)C1(CC1)S(=O)(=O)C1=CC=C(Br)C=C1,-3.67
CCCCOC(=O)C1=CC(Br)=C(O)C=C1,-3.67
CN(C)C(=O)NC1=CC(C)=C(Br)C(C)=C1,-3.67
O=C(SCC)N(CC(C)C)CC(C)C,-3.68
Cc1cc(Cl)ccc1OCCCC(O)=O,-3.68
CC(C)(C)c1ccc(cc1)C(O)=O,-3.69
Cc1c(cccc2)c2ccc1,-3.7
OC(=O)CCCCCCCCCCBr,-3.7
CC(C)C(C)Nc1[n]c(NCC)[n]c([n]1)SC,-3.71
CCNC1=NC(SC)=NC(N[C@H](C)C(C)C)=N1,-3.71
CCCCCC1(CC)C(=O)NC(=S)NC1=O,-3.71
[#6]CNC1=[NH0]C(NC([#6])C([#6])[#6])=[NH0]C(S[#6])=[NH0]1,-3.71
N1C2=C(C=CC=C2)C2=C1C=NC=C2,-3.73
[O-][N+](=O)C1=CC=C(O1)\C=N\NC(=O)C1=CC=NC=C1,-3.73
CC1=NN(C(C)=C1N=O)C1=CC=CC=C1,-3.74
[#6]C1=[NH0][NH0](C([#6])=C1N=O)C1=CC=CC=C1,-3.74
O=C1OC2=C(C=C1)C=C1C=COC1=C2,-3.74
CC(C)=CCC\C(C)=C\COC=O,-3.75
OC(=O)c1cc2ccccc2cc1,-3.753333333
CCOC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12,-3.76
ClC1=NC=CC=C1NS(=O)(=O)C1=CC=CC=C1,-3.76
Cc1cc(cccc2)c2cc1,-3.77
CCCCC(CC)COC(=O)C=C,-3.77
CC1=CC=C(C=C1)S(=O)(=O)C1=COC(=C1)S(N)(=O)=O,-3.78
CC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O1)S(N)(=O)=O,-3.78
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-3.79
C1CN(CCO1)Sc2sc3ccccc3n2,-3.81
CCOC(=O)CC(C)CC(C)(C)C,-3.82
CC1=C(CC(O)=O)SC2=C1C=CC(Cl)=C2,-3.84
CC(C)OC(=O)COC1=CC=C(Cl)C=C1Cl,-3.85
OC(=O)C1CC1C(=O)NC1=C(Cl)C=C(Cl)C=C1,-3.87
[O-][N+](=O)C1=CC=C(O1)C1=NC2=C(N1)C=CC=C2,-3.89
C=CCCCCCCCCC=O,-3.89
Oc1ccc2ccccc2c1C=O,-3.89
CCC(CC1=C(I)C(N)=C(I)C=C1I)C(O)=O,-3.895
CCCCOC(=O)C1=CC(I)=C(O)C=C1,-3.9
COC1CC(C)CCC1C(C)C,-3.93
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC(Br)=C1,-3.94
FC1=CN(CC2=C(Cl)C=C(Cl)C=C2)C(=O)NC1=O,-3.94
CCC(C)(C)C1CC\C(=N/O)\C(\C1)=N\O,-3.96
CCC(C)(C)C1CC\C(=N\O)\C(\C1)=N/O,-3.96
CCC(C)(C)C1CCC(=NO)C(C1)=NO,-3.97
CCC(C)(C)C1CCC(N=O)C(C1)N=O,-3.97
CC1COC2=CC=CC=C2N1C(=O)C(Cl)Cl,-3.975
CC(CCOC(C)=O)CC(C)(C)C,-3.99
Cc(c(C)cc(C)c1C)c1C,-4
[O-][N+](=O)C1=CC=C(O1)C1=NC2=C(N1)C=CC(F)=C2,-4
C1=CC2=C(C=C1F)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],-4
CC1=CC=C(C=C1)S(=O)(=O)C1=CSC(=C1)S(N)(=O)=O,-4.02
CC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(S1)S(N)(=O)=O,-4.02
CCCCCCCCC(C)C=O,-4.03
CC(C)=CCCC(C)(OC=O)C=C,-4.04
CCCCCCCCCC(C)=O,-4.055
CC(CCOC=O)CCC=C(C)C,-4.06
CCCCC1=CC=CC=C1C,-4.06
CCCC(=O)OC1=CC=CC(=C1)N=C=S,-4.09
COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,-4.11
O=C1NC(NC2=CC=CC=C2)=NC2=C1N=CN2,-4.12
CC(C)CC1=C(C)C=CC=C1,-4.12
CCOC1CC(C)CC(C)(C)C1,-4.13
CNC(=O)Oc1cc(C)c(SC)c(C)c1,-4.136666667
CC(C)(C)CC1=CC=CC=C1,-4.15
CC(C)CCCCCOC(=O)C=C,-4.17
c1ccc(cc1)\N=N\c1c(nc(cc1)N)N,-4.19
COC1=C2C=CC=CC2=CC=C1,-4.2
CCSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,-4.2
[#6]CSC1=[NH0]C(NC([#6])[#6])=[NH0]C(NC([#6])[#6])=[NH0]1,-4.2
COC1=CC=C(C=C1)S(=O)(=O)C1=CSC(=C1)S(N)(=O)=O,-4.22
COC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(S1)S(N)(=O)=O,-4.22
NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1,-4.24
CCCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,-4.25
CCCSP(=O)(Oc1ccc(Br)cc1Cl)OCC,-4.25
CC1=CC=C2C=CC=CC2=C1[N+]([O-])=O,-4.27
CCOC(=O)CCS[P](=S)(OC(C)C)OC(C)C,-4.27
O=C(OCC#CCCl)Nc1cccc(Cl)c1,-4.305
BrC1=C(C=CC2=CC=CC=C12)N=C=S,-4.32
CC(C)(c1ccccc1)CC,-4.325
[#6]CN(C[#6])C1=[NH0]C([#6])=CC(OP(=S)(O[#6])O[#6])=[NH0]1,-4.34
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OC)OC,-4.34
NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC2=C1NC=N2,-4.35
COC1=C2C=CC=CC2=C(C=C1)[N+]([O-])=O,-4.36
CC(C)CC(=O)OC1=CC=C(C=C1)N(=O)=O,-4.39
CCCCC(=O)OC1=CC=C(C=C1)[N+]([O-])=O,-4.39
CCN(CC)C1=NC(=NC(Cl)=N1)N(CC)CC,-4.41
[#6]CN(C[#6])C1=[NH0]C(=[NH0]C(Cl)=[NH0]1)N(C[#6])C[#6],-4.41
S=C=NC1=CC2=CC=CC=C2C=C1,-4.44
CC(C)CCCCCOC(=O)CCS,-4.45
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(I)C=N1,-4.46
CSC1=CC(=O)C2=C(C=CC=C2)C1=O,-4.47
CCCCCCCCCOC(C)=O,-4.47
Cc1ccc(cc1)C(C)(C)C,-4.47
CCCCCCCCCCCO,-4.48
Nc1c(C(F)(F)F)cc(N(=O)=O)c(N(CC)CC)c1N(=O)=O,-4.515
S=C=Nc1cccc2c1cccc2,-4.6
CCCCCCCCCC(OC)=O,-4.63
CCCCCCCCC(C)C#N,-4.63
CC(C)CCC1=CC=CC=C1,-4.64
